Time/s	Absorbance (460 nm)
3563.5	0.00436
3575.6	0.00486
3586.4	0.00529
3597.4	0.00569
3607.9	0.00602
3618	0.00627
3628	0.0064
3638.6	0.00633
3649.9	0.0059
3659.9	0.00521
3670.3	0.00445
3680.6	0.00393
3690.7	0.00372
3701.6	0.00378
3712.1	0.00402
3723.1	0.00438
3735.1	0.00483
3746.2	0.00526
3757.2	0.00567
3767.9	0.00607
3778.3	0.00643
3788.7	0.00677
3799.1	0.00705
3809.4	0.00721
3820	0.00708
3830.4	0.00643
3840.4	0.00531
3851	0.00415
3861.3	0.00351
3871.5	0.00336
3881.7	0.00351
3892.9	0.00386
3904.5	0.00432
3916.3	0.00481
3927.9	0.00525
3938.5	0.00561
3949.4	0.0059
3960.7	0.00608
3972.1	0.00606
3982.2	0.0058
3993.4	0.00523
4004.2	0.00459
4014.6	0.00412
4024.6	0.0039
4035.1	0.0039
4046.1	0.00409
4057	0.00439
4068.7	0.00478
4080.8	0.00521
4091.6	0.0056
4102.1	0.00596
4112.5	0.0063
4123.3	0.0066
4133.4	0.00681
4143.5	0.00684
4154.2	0.00653
4164.3	0.00579
4174.6	0.00478
4184.7	0.00397
4195.1	0.00356
4205.8	0.00353
4216.5	0.00376
4228	0.00415
4239.5	0.0046
4250.5	0.00505
4261.7	0.00549
4271.9	0.00586
4282.9	0.00622
4293.4	0.0065
4303.8	0.00666
4315	0.00658
4326	0.00608
4336.8	0.00519
4347.1	0.00432
4357.4	0.00377
4367.6	0.00359
4377.8	0.00368
4387.8	0.00394
4398.2	0.00431
4409.3	0.00474
4420.5	0.00518
4430.5	0.00557
4441	0.00596
4451.3	0.0063
4462	0.00661
4472.3	0.00681
4482.6	0.00682
4493.7	0.00644
4504.3	0.00557
4515.1	0.00452
4525.8	0.00379
4536.1	0.00352
4546.3	0.00357
4556.5	0.00382
4567.2	0.0042
4579.5	0.00469
4590.8	0.00514
4601.3	0.00555
4612.4	0.00594
4623.3	0.00626
4634.2	0.0065
4644.8	0.00657
4655.6	0.00633
4666.3	0.0057
4676.8	0.00483
4687.1	0.0041
4697.6	0.0037
4708.3	0.00365
4718.5	0.00382
4728.8	0.00413
4739.7	0.00453
4750.5	0.00496
4760.6	0.00535
4771.8	0.00578
4781.9	0.00614
4792.1	0.00648
4802.7	0.00679
4812.9	0.007
4823.3	0.007
4833.5	0.00661
4844.2	0.00566
4854.3	0.00457
4864.4	0.00379
4874.6	0.00345
4884.8	0.00348
4895.1	0.00373
4906.4	0.00413
4917.8	0.00459
4928.9	0.00504
4940.8	0.00549
4951.7	0.00585
4962.8	0.00614
4973.5	0.0063
4984.6	0.00625
4995	0.00591
5005.9	0.00523
5016.7	0.00449
5027.4	0.00397
5037.8	0.00377
5047.9	0.00382
5058.5	0.00404
5069.5	0.00439
5081.5	0.00482
5092.8	0.00525
5104	0.00567
5114.9	0.00607
5125.3	0.00643
5135.8	0.00677
5146.1	0.00704
5156.4	0.0072
5167	0.00708
5177.4	0.00644
5187.5	0.00532
5198.1	0.00416
5208.5	0.00352
5218.7	0.00336
5229	0.00351
5239	0.00383
5250.2	0.00426
5261	0.00471
5272.8	0.00517
5284.1	0.00556
5295.2	0.00588
5306.4	0.00608
5317.2	0.0061
5329.2	0.00582
5340.4	0.00525
5351.2	0.00461
5361.6	0.00413
5371.6	0.0039
5382.1	0.00389
5392.9	0.00407
5403.7	0.00437
5414.9	0.00474
5427.1	0.00518
5438.2	0.00558
5448.9	0.00595
5459.3	0.00629
5470.1	0.0066
5480.2	0.00681
5491	0.00686
5501.6	0.00656
5511.7	0.00582
5521.9	0.00481
5532	0.00398
5542.3	0.00356
5552.9	0.00352
5563.4	0.00373
5574.5	0.0041
5585.4	0.00453
5596.2	0.00497
5608.1	0.00544
5618.7	0.00583
5628.9	0.00617
5639.7	0.00646
5650.3	0.00662
5660.3	0.00658
5671.5	0.00613
5681.8	0.00534
5692.4	0.00445
5703	0.00383
5713.2	0.00361
5723.3	0.00367
5734.3	0.00394
5744.6	0.0043
5755.6	0.00472
5766.8	0.00517
5777	0.00556
5787.6	0.00595
5797.8	0.0063
5808.4	0.00662
5819.2	0.00685
5830	0.00689
5840.5	0.00656
5851.2	0.00572
5861.9	0.00464
5872.5	0.00384
5882.5	0.00351
5893.1	0.00353
5903.9	0.00378
5914.2	0.00414
5925.7	0.0046
5936.8	0.00505
5948.3	0.00549
5958.7	0.00586
5969.2	0.00617
5979.7	0.0064
5990.7	0.00648
6002.2	0.00625
6013.3	0.0056
6024.1	0.00476
6034.6	0.00408
6045.3	0.00372
6055.5	0.00369
6066.2	0.00388
6077	0.00421
6089.1	0.00466
6100.5	0.0051
6111.3	0.00552
6122.2	0.00593
6132.4	0.00629
6142.6	0.00663
6153.3	0.00694
6163.7	0.00714
6173.8	0.00711
