Time /s	Absorbance (460 nm)
3570	0.00725
3580.2	0.00638
3590.8	0.0055
3601.3	0.00496
3612	0.00483
3623.2	0.00503
3633.6	0.0054
3644.9	0.00589
3656.3	0.0064
3666.3	0.00684
3677.1	0.00728
3688	0.00764
3698.3	0.00786
3708.5	0.00787
3719.1	0.00752
3729.2	0.00679
3739.4	0.00588
3750.2	0.00514
3760.7	0.00485
3771	0.0049
3781	0.00517
3791.4	0.00558
3801.9	0.00605
3812.7	0.00653
3823.1	0.00699
3834.2	0.00741
3844.8	0.00773
3855.2	0.0079
3866.5	0.00778
3877.6	0.0072
3887.7	0.00634
3898.1	0.00547
3908.7	0.00495
3919.4	0.00484
3929.4	0.00501
3939.5	0.00536
3950.3	0.00581
3961.8	0.00634
3972.3	0.0068
3983.4	0.00725
3994.3	0.00763
4004.6	0.00786
4014.8	0.00788
4025.2	0.00757
4035.4	0.00685
4045.7	0.00593
4056.7	0.00517
4067.1	0.00485
4077.3	0.00489
4088.6	0.00519
4099.3	0.00562
4110.2	0.00611
4120.6	0.00658
4130.7	0.00701
4141.7	0.00743
4152.2	0.00774
4162.6	0.0079
4172.6	0.0078
4183.7	0.00726
4194	0.0064
4204.5	0.00551
4215.1	0.00497
4225.7	0.00483
4236.9	0.00503
4247.2	0.00539
4258.4	0.00587
4269.9	0.00639
4280	0.00684
4290.8	0.00727
4301.8	0.00764
4312	0.00786
4322.3	0.00788
4332.8	0.00753
4342.9	0.00681
4353.2	0.00589
4364	0.00515
4374.5	0.00485
4384.7	0.0049
4396.2	0.00521
4407.3	0.00566
4418.4	0.00616
4428.4	0.00662
4439.6	0.00709
4450.2	0.00748
4460.6	0.00777
4471.2	0.0079
4481.8	0.00773
4492.7	0.00711
4503.7	0.00615
4513.9	0.00535
4524.3	0.00491
4535.2	0.00485
4545.7	0.00508
4556.9	0.0055
4569.6	0.00606
4580.2	0.00654
4590.7	0.00699
4601.7	0.00741
4612.2	0.00773
4622.7	0.0079
4634	0.00777
4645.1	0.00719
4655.2	0.00633
4665.6	0.00547
4676.1	0.00495
4686.8	0.00484
4696.9	0.00502
4707.1	0.00536
4717.9	0.00582
4729.4	0.00635
4739.9	0.00681
4750.9	0.00726
4761.8	0.00763
4772.1	0.00786
4782.3	0.00788
4792.7	0.00756
4802.9	0.00684
4813.2	0.00593
4824.2	0.00517
4834.6	0.00485
4844.8	0.00489
4856.1	0.0052
4866.9	0.00563
4877.8	0.00612
4888.1	0.00658
4898.2	0.00701
4909.2	0.00743
4919.6	0.00774
4930.1	0.0079
4940.1	0.0078
4951.2	0.00725
4961.5	0.00639
4972	0.00551
4982.6	0.00497
4993.2	0.00483
5004.4	0.00503
5014.8	0.00539
5026	0.00588
5037.5	0.0064
5047.5	0.00684
5058.3	0.00727
5069.2	0.00764
5079.5	0.00786
5089.8	0.00788
5100.4	0.00752
5110.4	0.0068
5120.6	0.00589
5131.5	0.00515
5142	0.00485
5152.2	0.0049
5163.7	0.00522
5174.9	0.00567
5186	0.00617
5197.9	0.00671
5208.4	0.00714
5218.8	0.00752
5229.1	0.0078
5239.8	0.0079
5250.9	0.00766
5261.6	0.00699
5272.2	0.00605
5282.3	0.00529
5292.8	0.00488
5303.8	0.00487
5314.6	0.00513
5326.5	0.00559
5337.2	0.00607
5347.8	0.00655
5358.2	0.00699
5369.2	0.00742
5379.7	0.00773
5390.2	0.0079
5401.6	0.00777
5412.6	0.00718
5422.7	0.00633
5433.1	0.00546
5443.6	0.00495
5454.3	0.00484
5464.4	0.00502
5474.6	0.00537
5485.5	0.00583
5497	0.00635
5507.4	0.00682
5518.4	0.00726
5529.3	0.00763
5539.6	0.00786
5549.8	0.00788
5560.2	0.00755
5570.4	0.00684
5580.7	0.00592
5591.6	0.00516
5602.1	0.00485
5612.3	0.00489
5623.6	0.0052
5634.5	0.00563
5645.4	0.00613
5655.7	0.00659
5665.7	0.00702
5676.6	0.00743
5687.1	0.00774
5697.6	0.0079
5707.7	0.00779
5718.7	0.00724
5729	0.00638
5739.5	0.0055
5750	0.00496
5760.7	0.00483
5771.9	0.00503
5782.3	0.0054
5793.7	0.00589
5805	0.0064
5815.1	0.00685
5825.8	0.00728
5836.7	0.00764
5847	0.00786
5857.3	0.00787
5867.9	0.00752
5877.9	0.00679
5888.1	0.00588
5899	0.00514
5909.5	0.00485
5919.7	0.0049
5929.7	0.00517
5940.2	0.00558
5950.7	0.00605
5961.4	0.00653
5971.9	0.00699
5983	0.00741
5993.5	0.00773
6003.9	0.0079
6015.3	0.00778
6026.3	0.0072
6036.4	0.00634
6046.9	0.00547
6057.4	0.00495
6068.1	0.00484
6078.2	0.00501
6088.3	0.00536
6099	0.00582
6110.5	0.00634
6121.1	0.00681
6132.1	0.00725
6143.1	0.00763
6153.4	0.00786
6163.5	0.00788
6173.9	0.00757
6184.2	0.00685
6194.5	0.00593
6205.4	0.00517
6215.9	0.00485
6226.1	0.00489
6237.3	0.00519
6248.1	0.00562
6258.9	0.00611
6269.3	0.00658
6279.5	0.00701
6290.4	0.00743
6300.9	0.00774
6311.4	0.0079
6321.4	0.0078
6332.5	0.00726
6342.7	0.0064
6353.3	0.00551
6363.8	0.00497
6374.5	0.00483
6385.7	0.00503
6396	0.00539
6407.2	0.00587
6418.6	0.00639
6428.8	0.00684
6439.6	0.00727
6450.5	0.00764
6460.8	0.00786
6471	0.00788
6481.6	0.00753
6491.7	0.0068
6501.9	0.00589
6512.8	0.00515
6523.2	0.00485
6533.5	0.0049
6544.9	0.00521
6556	0.00566
6567.2	0.00616
6577.2	0.00662
6588.4	0.00709
6598.9	0.00748
6609.3	0.00777
6619.9	0.0079
6630.5	0.00773
6641.5	0.00711
6652.4	0.00615
6662.6	0.00535
6673.1	0.00491
6684	0.00485
6694.5	0.00508
6705.6	0.0055
6718.3	0.00606
6729	0.00654
6739.4	0.00699
6750.5	0.00741
6761	0.00773
6771.4	0.0079
6782.8	0.00777
6793.8	0.00719
6803.9	0.00633
6814.4	0.00547
6824.9	0.00495
6835.6	0.00484
6845.7	0.00502
6855.8	0.00536
6866.6	0.00582
6878.1	0.00635
6888.6	0.00681
6899.6	0.00726
6910.6	0.00763
6920.9	0.00786
6931	0.00788
6941.5	0.00756
6951.7	0.00684
6962	0.00592
6972.9	0.00517
6983.3	0.00485
6993.6	0.00489
7004.9	0.0052
7015.7	0.00563
7026.6	0.00612
7036.9	0.00658
7047	0.00701
7057.9	0.00743
7068.4	0.00774
7078.9	0.0079
7088.9	0.0078
7100	0.00725
7110.2	0.00639
7120.8	0.00551
7131.3	0.00497
7142	0.00483
7153.2	0.00503
7163.5	0.00539
7174.8	0.00588
7186.2	0.0064
7196.3	0.00684
7207.1	0.00727
7218	0.00764
7228.3	0.00786
7238.5	0.00787
7249.1	0.00752
7259.2	0.0068
7269.4	0.00589
7280.3	0.00515
7290.7	0.00485
7301	0.0049
7312.5	0.00522
7323.6	0.00567
7334.8	0.00617
7346.7	0.00671
7357.2	0.00714
7367.5	0.00752
7377.9	0.0078
7388.6	0.0079
7399.7	0.00766
7410.3	0.00699
7421	0.00605
7431.1	0.00529
7441.5	0.00488
7452.5	0.00487
7463.4	0.00513
7475.3	0.00559
7486	0.00607
7496.6	0.00655
7506.9	0.00699
7518	0.00742
7528.5	0.00773
7538.9	0.0079
7550.3	0.00777
7561.4	0.00718
7571.4	0.00632
7581.9	0.00546
7592.4	0.00495
7603.1	0.00484
7613.2	0.00502
7623.4	0.00537
7634.3	0.00583
7645.7	0.00635
7656.2	0.00682
7667.1	0.00726
7678.1	0.00763
7688.4	0.00786
7698.5	0.00788
7709	0.00755
7719.2	0.00684
7729.5	0.00592
7740.4	0.00516
7750.8	0.00485
7761	0.00489
7772.4	0.0052
7783.2	0.00563
7794.2	0.00613
7804.5	0.00659
7814.5	0.00702
7825.4	0.00743
7835.9	0.00774
7846.4	0.0079
7856.4	0.00779
7867.5	0.00724
7877.7	0.00638
7888.3	0.0055
7898.8	0.00496
7909.5	0.00483
7920.7	0.00503
7931.1	0.0054
7942.4	0.00589
7953.8	0.0064
7963.8	0.00685
7974.6	0.00728
7985.5	0.00764
7995.8	0.00786
8006	0.00787
8016.7	0.00752
8026.7	0.00679
8036.9	0.00588
8047.8	0.00514
8058.2	0.00485
8068.5	0.0049
8078.5	0.00517
8088.9	0.00558
8099.5	0.00605
8110.2	0.00653
8120.7	0.00699
8131.7	0.00741
8142.3	0.00773
8152.7	0.0079
8164	0.00778
8175.1	0.0072
8185.2	0.00634
8195.7	0.00547
8206.2	0.00495
8216.9	0.00484
8226.9	0.00501
8237	0.00536
8247.8	0.00582
8259.3	0.00634
8269.9	0.00681
8280.9	0.00725
8291.9	0.00763
8302.1	0.00786
8312.3	0.00788
8322.7	0.00757
8332.9	0.00685
8343.3	0.00593
8354.2	0.00517
8364.6	0.00485
8374.8	0.00489
8386.1	0.00519
8396.8	0.00562
8407.7	0.00611
8418.1	0.00658
8428.2	0.00701
8439.2	0.00743
8449.7	0.00774
8460.1	0.0079
8470.1	0.0078
8481.2	0.00726
8491.5	0.0064
8502.1	0.00551
8512.6	0.00497
8523.3	0.00483
8534.4	0.00503
8544.8	0.00539
8556	0.00587
8567.4	0.00639
8577.5	0.00684
8588.3	0.00727
8599.3	0.00764
8609.6	0.00786
8619.8	0.00788
8630.4	0.00753
8640.4	0.0068
8650.7	0.00589
8661.6	0.00515
8672	0.00485
8682.3	0.0049
8693.7	0.00521
8704.8	0.00566
8715.9	0.00616
8726	0.00662
8737.1	0.00709
8747.7	0.00748
8758.1	0.00777
8768.7	0.0079
8779.3	0.00773
8790.2	0.00711
8801.2	0.00615
8811.4	0.00535
8821.9	0.00491
8832.7	0.00485
8843.2	0.00508
8854.4	0.0055
8867.1	0.00606
8877.8	0.00654
8888.2	0.00699
8899.2	0.00741
8909.8	0.00773
8920.2	0.0079
8931.6	0.00777
8942.6	0.00719
8952.7	0.00633
8963.1	0.00547
8973.7	0.00495
8984.4	0.00484
8994.4	0.00502
9004.6	0.00536
9015.4	0.00582
9026.9	0.00635
9037.4	0.00681
9048.4	0.00726
9059.3	0.00763
9069.6	0.00786
9079.8	0.00788
9090.2	0.00756
9100.4	0.00684
9110.7	0.00592
9121.7	0.00517
9132.1	0.00485
9142.3	0.00489
9153.6	0.0052
9164.4	0.00563
9175.3	0.00612
9185.7	0.00658
9195.7	0.00701
9206.7	0.00743
9217.2	0.00774
9227.6	0.0079
9237.7	0.0078
9248.7	0.00725
9259	0.00639
9269.5	0.00551
9280.1	0.00497
9290.7	0.00483
9301.9	0.00503
9312.3	0.00539
9323.6	0.00588
9335	0.0064
9345.1	0.00684
9355.8	0.00728
9366.8	0.00764
9377	0.00786
9387.3	0.00787
9397.9	0.00752
9407.9	0.0068
9418.2	0.00589
9429	0.00515
9439.5	0.00485
9449.8	0.0049
9461.2	0.00522
9472.4	0.00567
9483.6	0.00617
9495.5	0.00671
9505.9	0.00714
9516.3	0.00752
9526.6	0.0078
9537.3	0.0079
9548.4	0.00766
9559.1	0.00699
9569.8	0.00605
9579.9	0.00529
9590.3	0.00488
9601.3	0.00487
9612.1	0.00513
9624.1	0.00559
9634.7	0.00607
9645.3	0.00655
9655.7	0.00699
9666.7	0.00742
9677.2	0.00773
9687.7	0.0079
9699.1	0.00777
9710.1	0.00718
9720.2	0.00632
9730.6	0.00546
9741.1	0.00495
9751.8	0.00484
9761.9	0.00502
9772.1	0.00537
9783	0.00583
9794.5	0.00636
9804.9	0.00682
9815.9	0.00726
9826.8	0.00763
9837.1	0.00786
9847.3	0.00788
9857.8	0.00755
9867.9	0.00684
9878.2	0.00592
9889.1	0.00516
9899.6	0.00485
9909.8	0.00489
9921.1	0.0052
9932	0.00563
9943	0.00613
9953.2	0.00659
9963.3	0.00702
9974.2	0.00743
9984.6	0.00774
9995.1	0.0079
10005	0.00779
10016	0.00724
10026	0.00638
10037	0.0055
10048	0.00496
10058	0.00483
10069	0.00503
10080	0.0054
10091	0.00589
10103	0.00641
10113	0.00685
10123	0.00728
10134	0.00764
10145	0.00787
10155	0.00787
10165	0.00752
10175	0.00679
10186	0.00588
10197	0.00514
10207	0.00485
10217	0.0049
10227	0.00517
10238	0.00558
10248	0.00605
10259	0.00653
10269	0.00699
10280	0.00741
10291	0.00773
10301	0.0079
10313	0.00777
10324	0.0072
10334	0.00634
10344	0.00547
10355	0.00495
10366	0.00484
10376	0.00501
10386	0.00536
10397	0.00582
10408	0.00634
10419	0.00681
10430	0.00725
10441	0.00763
10451	0.00786
10461	0.00788
10471	0.00757
10482	0.00685
10492	0.00593
10503	0.00517
10513	0.00485
10524	0.00489
10535	0.00519
10546	0.00562
10556	0.00611
10567	0.00658
10577	0.00701
10588	0.00743
10598	0.00774
10609	0.0079
10619	0.0078
10630	0.00726
10640	0.0064
10651	0.00551
10661	0.00497
10672	0.00483
10683	0.00503
10694	0.00539
10705	0.00587
10716	0.00639
10726	0.00684
10737	0.00727
10748	0.00764
10758	0.00786
10769	0.00788
10779	0.00753
10789	0.0068
10799	0.00589
10810	0.00515
10821	0.00485
10831	0.0049
10842	0.00521
10854	0.00566
10865	0.00617
10875	0.00662
10886	0.00709
10896	0.00748
10907	0.00777
10917	0.0079
10928	0.00773
10939	0.00711
10950	0.00615
10960	0.00535
10971	0.00491
10981	0.00485
10992	0.00508
11003	0.0055
11016	0.00606
11027	0.00654
11037	0.00699
11048	0.00741
11059	0.00773
11069	0.0079
11080	0.00777
11091	0.00719
11101	0.00633
11112	0.00547
11122	0.00495
11133	0.00484
11143	0.00502
11153	0.00536
11164	0.00583
11176	0.00635
11186	0.00681
11197	0.00726
11208	0.00763
11218	0.00786
11229	0.00788
11239	0.00756
11249	0.00684
11260	0.00592
11270	0.00517
11281	0.00485
11291	0.00489
11302	0.0052
11313	0.00563
11324	0.00612
11334	0.00658
11345	0.00701
11355	0.00743
11366	0.00774
11376	0.0079
11386	0.0078
11397	0.00725
11408	0.00639
11418	0.00551
11429	0.00497
11439	0.00483
11451	0.00503
11461	0.00539
11472	0.00588
11484	0.0064
11494	0.00684
11505	0.00728
11516	0.00764
11526	0.00786
11536	0.00787
11547	0.00752
11557	0.0068
11567	0.00589
11578	0.00515
11588	0.00485
11599	0.0049
11610	0.00522
11621	0.00567
11632	0.00617
11644	0.00671
11655	0.00714
11665	0.00752
11675	0.0078
11686	0.0079
11697	0.00766
11708	0.00699
11719	0.00605
11729	0.00529
11739	0.00488
11750	0.00487
11761	0.00513
11773	0.00559
11783	0.00607
11794	0.00655
11804	0.00699
11815	0.00742
11826	0.00773
11836	0.0079
11848	0.00777
11859	0.00718
11869	0.00632
11879	0.00546
11890	0.00495
11901	0.00484
11911	0.00502
11921	0.00537
11932	0.00583
