Time/s	Absorbance (460 nm)
3544.5	0.00778
3555.4	0.00829
3566.1	0.00874
3576.9	0.00907
3587.6	0.00912
3598.4	0.00858
3608.5	0.00732
3619	0.00582
3629.3	0.00491
3639.3	0.00468
3650.1	0.00492
3661.3	0.00544
3671.8	0.00603
3682.2	0.00661
3693.5	0.00721
3704.1	0.00769
3714.9	0.00806
3725.5	0.00824
3735.7	0.00811
3746.9	0.00746
3757.5	0.00649
3768.3	0.0056
3778.4	0.00517
3788.9	0.00515
3799.1	0.00542
3809.8	0.00587
3821.8	0.00647
3832.2	0.00701
3842.2	0.00752
3852.4	0.00802
3863.2	0.0085
3873.5	0.00889
3884.3	0.00914
3894.3	0.00902
3905.1	0.00818
3915.3	0.00673
3925.5	0.00542
3935.5	0.00477
3945.9	0.00472
3956.7	0.00507
3966.8	0.00559
3979.1	0.00628
3989.7	0.00686
4001.1	0.00743
4011.7	0.00787
4022.1	0.00817
4033.5	0.00822
4045	0.0078
4055.7	0.00693
4066.2	0.00596
4076.5	0.00532
4086.6	0.00512
4096.9	0.00526
4107.3	0.00563
4118.8	0.00617
4129.7	0.00674
4140.4	0.00729
4150.9	0.00781
4161.6	0.00831
4172.3	0.00875
4183.1	0.00908
4193.9	0.00911
4204.8	0.00852
4215.6	0.00712
4225.9	0.00567
4236.1	0.00486
4246.2	0.00469
4256.4	0.00494
4266.5	0.00541
4276.7	0.00598
4286.9	0.00655
4298.5	0.00717
4309.3	0.00766
4320.2	0.00805
4330.8	0.00824
4340.8	0.00813
4352.1	0.00751
4362.8	0.00653
4373.6	0.00562
4383.7	0.00518
4394.2	0.00514
4404.3	0.0054
4414.8	0.00584
4426.4	0.00642
4437	0.00697
4447.4	0.0075
4457.8	0.008
4467.8	0.00845
4478.2	0.00886
4488.9	0.00913
4499.6	0.00903
4510.4	0.00823
4520.8	0.00678
4530.9	0.00545
4541	0.00478
4551.3	0.00471
4562	0.00506
4573.5	0.00564
4583.8	0.00622
4594.5	0.00681
4604.6	0.00733
4615.7	0.00781
4626.3	0.00813
4637.3	0.00824
4648.5	0.00793
4658.6	0.0072
4669.6	0.00617
4680	0.00542
4690.1	0.00513
4701.1	0.00522
4712.4	0.0056
4723.5	0.00612
4734.4	0.00668
4745.4	0.00725
4756.2	0.00779
4767	0.0083
4777.8	0.00874
4788.5	0.00907
4799.3	0.00912
4810.1	0.00856
4820.2	0.0073
4830.6	0.0058
4840.9	0.0049
4850.9	0.00468
4861.7	0.00492
4873.1	0.00546
4883.7	0.00605
4894.2	0.00664
4905.4	0.00723
4915.8	0.0077
4926.6	0.00807
4937.3	0.00824
4947.6	0.00809
4958.6	0.00744
4969.1	0.00647
4979.9	0.00559
4990	0.00517
5000.6	0.00515
5010.8	0.00543
5021.7	0.00589
5033.9	0.0065
5044.1	0.00704
5055.3	0.0076
5066	0.00812
5076.5	0.00858
5086.6	0.00895
5096.7	0.00915
5107.1	0.00896
5117.6	0.00805
5127.8	0.00658
5137.8	0.00533
5147.8	0.00474
5158.3	0.00474
5168.4	0.00508
5178.6	0.0056
5191.1	0.00631
5201.6	0.00689
5212.8	0.00744
5223.4	0.00788
5233.9	0.00817
5243.9	0.00823
5255.2	0.00788
5266.3	0.00702
5276.9	0.00603
5287.2	0.00535
5297.4	0.00512
5307.5	0.00523
5317.5	0.00558
5328.3	0.00607
5339	0.00662
5350.5	0.00722
5361.5	0.00777
5371.5	0.00824
5381.6	0.00867
5391.6	0.00901
5402	0.00915
5412.1	0.00885
5422.1	0.00783
5432.9	0.00626
5443.5	0.0051
5454.1	0.00469
5464.4	0.00482
5474.4	0.00523
5484.6	0.00577
5496.1	0.00643
5506.3	0.00698
5516.9	0.0075
5527.2	0.00791
5537.7	0.00819
5547.9	0.00822
5559.4	0.0078
5570.1	0.00693
5580.5	0.00596
5590.8	0.00532
5601	0.00512
5611.3	0.00526
5621.6	0.00563
5633.1	0.00617
5644.1	0.00674
5654.7	0.00729
5665.2	0.00781
5676	0.00831
5686.7	0.00875
5697.4	0.00908
5708.3	0.00911
5719.1	0.00852
5729.9	0.00712
5740.3	0.00568
5750.5	0.00486
5760.6	0.00469
5770.7	0.00494
5780.9	0.00541
5791	0.00597
5801.2	0.00655
5812.9	0.00717
5823.6	0.00766
5834.5	0.00805
5845.1	0.00824
5855.1	0.00813
5866.4	0.0075
5877.1	0.00653
5888	0.00562
5898.1	0.00518
5908.6	0.00514
5918.7	0.0054
5929.2	0.00584
5940.8	0.00642
5951.4	0.00697
5961.8	0.0075
5972.1	0.008
5982.1	0.00845
5992.5	0.00886
6003.2	0.00913
6014	0.00903
6024.8	0.00823
6035.1	0.00678
6045.3	0.00545
6055.3	0.00478
6065.6	0.00471
6076.4	0.00505
6087.9	0.00564
6098.1	0.00622
6108.8	0.00681
6118.9	0.00732
6130	0.00781
6140.6	0.00813
6151.6	0.00824
6162.8	0.00793
6172.9	0.0072
6183.9	0.00617
6194.4	0.00542
6204.5	0.00513
6215.4	0.00522
6226.7	0.0056
6237.9	0.00612
6248.7	0.00668
6259.8	0.00725
6270.5	0.00779
6281.4	0.0083
6292.1	0.00874
6302.8	0.00907
6313.6	0.00912
6324.4	0.00856
6334.5	0.0073
6344.9	0.0058
6355.2	0.0049
6365.2	0.00468
6376.1	0.00492
6387.4	0.00546
6398	0.00605
6408.5	0.00664
6419.7	0.00722
6430.1	0.0077
